SOA_CODE,SOA_LABEL,FiveKBuff,TenKBuff,FiftKBuff,TwentKBuff,RestIre
95AA01S1,Aldergrove_1,0,0,0,0,1
95AA01S2,Aldergrove_2,0,0,0,0,1
95AA01S3,Aldergrove_3,0,0,0,0,1
95AA02W1,Balloo,0,0,0,0,1
95AA03W1,Ballycraigy,0,0,0,0,1
95AA04W1,Clady,0,0,0,0,1
95AA05W1,Cranfield,0,0,0,0,1
95AA06S1,Crumlin_1_Antrim,0,0,0,0,1
95AA06S2,Crumlin_2_Antrim,0,0,0,0,1
95AA07W1,Drumanaway,0,0,0,0,1
95AA08W1,Farranshane,0,0,0,0,1
95AA09W1,Fountain Hill,0,0,0,0,1
95AA10W1,Greystone_Antrim,0,0,0,0,1
95AA11S1,Massereene_1,0,0,0,0,1
95AA11S2,Massereene_2,0,0,0,0,1
95AA12W1,Parkgate,0,0,0,0,1
95AA13S1,Randalstown_1,0,0,0,0,1
95AA13S2,Randalstown_2,0,0,0,0,1
95AA14W1,Shilvodan,0,0,0,0,1
95AA15S1,Springfarm_1,0,0,0,0,1
95AA15S2,Springfarm_2,0,0,0,0,1
95AA16W1,Steeple,0,0,0,0,1
95AA17W1,Stiles,0,0,0,0,1
95AA18W1,Templepatrick,0,0,0,0,1
95AA19W1,Toome,0,0,0,0,1
95BB01S1,Ballygowan_1,0,0,0,0,1
95BB01S2,Ballygowan_2,0,0,0,0,1
95BB02W1,Ballyrainey,0,0,0,0,1
95BB03S1,Ballywalter_1,0,0,0,0,1
95BB03S2,Ballywalter_2,0,0,0,0,1
95BB04S1,Bradshaw's Brae_1,0,0,0,0,1
95BB04S2,Bradshaw's Brae_2,0,0,0,0,1
95BB05S1,Carrowdore_1,0,0,0,0,1
95BB05S2,Carrowdore_2,0,0,0,0,1
95BB06W1,Central_Ards,0,0,0,0,1
95BB07S1,Comber East_1,0,0,0,0,1
95BB07S2,Comber East_2,0,0,0,0,1
95BB08S1,Comber North_1,0,0,0,0,1
95BB08S2,Comber North_2,0,0,0,0,1
95BB09S1,Comber West_1,0,0,0,0,1
95BB09S2,Comber West_2,0,0,0,0,1
95BB10S1,Donaghadee North_1,0,0,0,0,1
95BB10S2,Donaghadee North_2,0,0,0,0,1
95BB11S1,Donaghadee South_1,0,0,0,0,1
95BB11S2,Donaghadee South_2,0,0,0,0,1
95BB12S1,Glen_1,0,0,0,0,1
95BB12S2,Glen_2,0,0,0,0,1
95BB13S1,Gregstown_1,0,0,0,0,1
95BB13S2,Gregstown_2,0,0,0,0,1
95BB13S3,Gregstown_3,0,0,0,0,1
95BB14S1,Killinchy_1,0,0,0,0,1
95BB14S2,Killinchy_2,0,0,0,0,1
95BB15S1,Kircubbin_1,0,0,0,0,1
95BB15S2,Kircubbin_2,0,0,0,0,1
95BB16S1,Lisbane_1,0,0,0,0,1
95BB16S2,Lisbane_2,0,0,0,0,1
95BB17S1,Loughries_1,0,0,0,0,1
95BB17S2,Loughries_2,0,0,0,0,1
95BB18S1,Millisle_1,0,0,0,0,1
95BB18S2,Millisle_2,0,0,0,0,1
95BB19S1,Movilla_1,0,0,0,0,1
95BB19S2,Movilla_2,0,0,0,0,1
95BB19S3,Movilla_3,0,0,0,0,1
95BB20S1,Portaferry_1,0,0,0,0,1
95BB20S2,Portaferry_2,0,0,0,0,1
95BB21S1,Portavogie_1,0,0,0,0,1
95BB21S2,Portavogie_2,0,0,0,0,1
95BB22S1,Scrabo_1,0,0,0,0,1
95BB22S2,Scrabo_2,0,0,0,0,1
95BB23S1,Whitespots_1,0,0,0,0,1
95BB23S2,Whitespots_2,0,0,0,0,1
95CC01W1,Abbey Park,0,0,1,0,0
95CC02W1,Ballymartrim,1,0,0,0,0
95CC03W1,Callan Bridge,0,0,1,0,0
95CC04W1,Carrigatuke,1,0,0,0,0
95CC05W1,Charlemont,0,0,1,0,0
95CC06S1,Demesne_1,0,0,1,0,0
95CC06S2,Demesne_2,0,0,1,0,0
95CC07W1,Derrynoose,1,0,0,0,0
95CC08W1,Downs,0,0,1,0,0
95CC09S1,Hamiltonsbawn_1,0,0,1,0,0
95CC09S2,Hamiltonsbawn_2,0,0,0,1,0
95CC10W1,Hockley,0,0,0,1,0
95CC11W1,Keady,1,0,0,0,0
95CC12W1,Killeen,0,1,0,0,0
95CC13W1,Killylea,1,0,0,0,0
95CC14W1,Laurelvale,0,0,0,0,1
95CC15W1,Loughgall,0,0,0,1,0
95CC16W1,Markethill,0,1,0,0,0
95CC17W1,Milford,1,0,0,0,0
95CC18W1,Observatory,0,0,1,0,0
95CC19W1,Poyntz Pass,0,0,1,0,0
95CC20S1,Rich Hill_1,0,0,0,1,0
95CC20S2,Rich Hill_2,0,0,0,0,1
95CC21W1,Tandragee,0,0,0,0,1
95CC22W1,The Mall,0,0,1,0,0
95DD01W1,Academy,0,0,0,0,1
95DD02S1,Ahoghill_1,0,0,0,0,1
95DD02S2,Ahoghill_2,0,0,0,0,1
95DD03W1,Ardeevin,0,0,0,0,1
95DD04W1,Ballee,0,0,0,0,1
95DD05W1,Ballykeel,0,0,0,0,1
95DD06W1,Ballyloughan,0,0,0,0,1
95DD07S1,Broughshane_1,0,0,0,0,1
95DD07S2,Broughshane_2,0,0,0,0,1
95DD08W1,Castle Demesne,0,0,0,0,1
95DD09W1,Craigywarren,0,0,0,0,1
95DD10W1,Cullybackey,0,0,0,0,1
95DD11W1,Dunclug,0,0,0,0,1
95DD12W1,Dunminning,0,0,0,0,1
95DD13W1,Fair Green,0,0,0,0,1
95DD14S1,Galgorm_1,0,0,0,0,1
95DD14S2,Galgorm_2,0,0,0,0,1
95DD15W1,Glenravel,0,0,0,0,1
95DD16W1,Glenwhirry,0,0,0,0,1
95DD17W1,Grange,0,0,0,0,1
95DD18W1,Harryville,0,0,0,0,1
95DD19S1,Kells_1,0,0,0,0,1
95DD19S2,Kells_2,0,0,0,0,1
95DD20W1,Moat,0,0,0,0,1
95DD21W1,Park,0,0,0,0,1
95DD22S1,Portglenone_1,0,0,0,0,1
95DD22S2,Portglenone_2,0,0,0,0,1
95DD23W1,Slemish,0,0,0,0,1
95DD24W1,Summerfield,0,0,0,0,1
95EE01W1,Ballyhoe and Corkey,0,0,0,0,1
95EE02W1,Benvardin,0,0,0,0,1
95EE03W1,Carnany,0,0,0,0,1
95EE04W1,Clogh Mills,0,0,0,0,1
95EE05W1,Dervock,0,0,0,0,1
95EE06W1,Dunloy,0,0,0,0,1
95EE07W1,Fairhill,0,0,0,0,1
95EE08W1,Glebe,0,0,0,0,1
95EE09W1,Killoquin Lower,0,0,0,0,1
95EE10W1,Killoquin Upper,0,0,0,0,1
95EE11W1,Knockaholet,0,0,0,0,1
95EE12W1,Newhill,0,0,0,0,1
95EE13W1,Route,0,0,0,0,1
95EE14W1,Seacon,0,0,0,0,1
95EE15W1,Stranocum,0,0,0,0,1
95EE16W1,The Vow,0,0,0,0,1
95FF01S1,Ballydown_1,0,0,0,0,1
95FF01S2,Ballydown_2,0,0,0,0,1
95FF02W1,Ballyward,0,0,0,0,1
95FF03W1,Banbridge West,0,0,0,0,1
95FF04W1,Bannside,0,0,0,1,0
95FF05W1,Dromore North,0,0,0,0,1
95FF06S1,Dromore South_1,0,0,0,0,1
95FF06S2,Dromore South_2,0,0,0,0,1
95FF07W1,Edenderry,0,0,0,0,1
95FF08W1,Fort,0,0,0,0,1
95FF09W1,Gilford,0,0,0,0,1
95FF10W1,Gransha,0,0,0,0,1
95FF11W1,Katesbridge,0,0,0,1,0
95FF12W1,Lawrencetown,0,0,0,0,1
95FF13W1,Loughbrickland,0,0,0,1,0
95FF14W1,Quilly,0,0,0,0,1
