Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AUSTRIA,25.7,22.1,26.2,31.6,39.9,42.8,49.4,53.3,54.5,57.4,61.9,65.7,69.6,71.5,70.7,64.7,62.1,59,54.6,45.7,50.7,54.6,56.4,56.7,56.8,58.3,57.3
BELGIUM,32.7,30.8,31.8,36.9,42.4,46.8,45.7,49.8,52.2,54.3,56.3,62.6,64.3,68.2,70,72.6,74.5,77,79,75.3,75.9,75.3,68.8,64.8,61.9,59.7,52
DENMARK,4.1,2.6,2.4,2.2,2.7,2.9,2.9,3,4.7,9.4,13.2,17.8,20.2,22.7,24,23.8,26.3,38.4,45.9,44.1,45.7,46.7,39.5,32,31.7,31,36
FINLAND,5.2,4.9,5,7.8,5.6,6.7,13.5,14.6,15.3,15.7,,16.6,15.6,15.2,15.5,17,20.2,28.4,49.6,46.2,41.5,42,38.2,36.8,38.9,35.7,33.3
FRANCE  ,33,38.4,39,45.5,47.6,46.5,39.2,41.8,40.2,44.1,49,56.2,63.2,67.4,69.2,69.1,71.4,73.9,77.3,70.4,70.8,72.4,72.9,67,63.9,57.2,52.1
GERMANY,9.8,11.8,14.8,14.6,16.6,14.5,15,14.9,17.6,22.4,30.3,34.5,37.9,39.9,44,42,44.2,47.8,44.1,30.7,41.9,47.1,48.1,47.4,47.8,47.7,45.8
GREECE,,,,,,,,,1.1,0.7,0.7,0.8,0.9,1.5,2.9,1.6,2.1,2.9,3.6,3.3,4,10,40,57.9,63.5,63.2,55.1
IRELAND,13.6,15.5,14.2,15.6,16.7,15.9,13.3,11.3,12.8,10.9,10.1,12.9,16.4,17.2,18.3,21.5,24.4,27.1,33.5,52.2,62.2,70,73.1,72,73.2,71,70
ITALY,7.3,5.7,7.6,8.4,9.1,9.9,16.5,17.5,22.5,29.4,33.6,36.6,43.4,48.7,58,58.3,58.2,55.8,50.7,41.9,45.9,55.2,53.1,53.9,54.9,55.2,57
LUXEMBOURG,21.3,16.7,25.1,27.6,28.1,28.5,32.4,35.2,38.8,42,50.4,58.2,61.9,65.9,72.5,75.4,77.4,77.2,77,73,75.2,76.7,76.1,73.4,72,70.4,65
NETHERLANDS,10.9,11,11.6,11,12,13.9,15.3,17.1,20.3,22.8,22.5,22.9,21.6,22.6,24.6,26.8,27,28.3,25.1,20.1,20,28.3,28.2,24.8,27.1,28.9,18.9
PORTUGAL,4.9,7,7.8,11.3,11.6,10.7,12.6,16.9,18.8,20.9,24.2,28.4,34.6,44.9,56.6,63.3,65.2,69.3,68.4,66.6,67.1,69.6,70.5,72.3,71.2,68.1,65.1
SPAIN ,14.2,12.8,16.6,23.2,27.5,33.6,37.5,42.2,47.8,50.6,53.1,52.5,57.1,60.9,65.4,67.8,68.2,70.9,69.3,70.1,70.6,70.3,68.9,66.3,64.9,62.7,56.9
SWEDEN,0.6,0.9,0.8,3.1,3.2,2.7,5.2,7.6,11,7.2,6.3,5.6,7,7.7,8,9.7,19.4,34.7,36.2,41,50.9,61.4,66.8,61.5,58.9,57.7,51.5
UNITED KINGDOM,6.4,8.7,12.5,19,21.7,20.2,17.8,16.1,15.3,13.8,14.1,17.8,23.5,27.3,32.5,36.8,38.3,40.1,43.6,41.7,46.1,50.6,50.8,49.8,50.1,48.4,47.7
