Region,Upper Tier Local Authority  ,Lower Tier Local Authority  ,Plug in Grant Eligible Vehicles,Hybrid Electric,Band A Cars,Company Cars,cars: Av Co2,Cars: Average Age,Petrol Cars,Diesel Cars,All Cars,Cars: Av Engine Size,Cars: Av Mass,Cars: Av Nox,PropDiesel,PropCompanyCar
North East,Darlington UA,Darlington UA,29,163,2394,6885,146,6.7,28596,21830,50672,1659,1609,0.11,43.08099147,13.58738554
North East,Durham UA,Durham UA,179,626,8337,12120,148,7.2,132612,93516,227195,1650,1378,0.11,41.1611171,5.334624442
North East,Gateshead,Gateshead,69,208,2476,4564,148,7.1,47103,26575,74026,1628,1369,0.1,35.89954881,6.165401345
North East,Hartlepool UA,Hartlepool UA,14,112,960,1805,150,7.4,22905,13753,36810,1652,1378,0.11,37.36212986,4.903558816
North East,Middlesbrough UA,Middlesbrough UA,21,142,1216,3066,150,7.4,33346,17460,51021,1634,1363,0.1,34.22120303,6.009290292
North East,Newcastle upon Tyne,Newcastle upon Tyne,93,344,2745,6060,150,7.2,55736,31410,87655,1653,1390,0.1,35.83366608,6.913467572
North East,North Tyneside,North Tyneside,50,271,2691,5559,149,7,54981,28578,83954,1630,1371,0.1,34.04006956,6.621483193
North East,Northumberland UA,Northumberland UA,167,448,5285,7121,150,7,89629,62685,153106,1684,1400,0.11,40.94222304,4.651026087
North East,Redcar and Cleveland UA,Redcar and Cleveland UA,13,145,1397,2723,152,7.7,39800,21865,61907,1653,1372,0.1,35.31910769,4.398533284
North East,South Tyneside,South Tyneside,82,162,1696,3170,150,7.2,36712,18531,55557,1632,1357,0.1,33.35493277,5.705851648
North East,Stockton-on-Tees UA,Stockton-on-Tees UA,49,370,2742,3961,150,7.2,55810,31212,87539,1663,1375,0.1,35.65496522,4.524840357
North East,Sunderland,Sunderland,108,294,3653,5745,148,7.3,68526,36274,105307,1617,1354,0.1,34.44595326,5.455477793
North West,Blackburn with Darwen UA,Blackburn with Darwen UA,25,256,1664,4513,151,8.1,33804,21119,55277,1665,1394,0.11,38.2057637,8.164335981
North West,Blackpool UA,Blackpool UA,9,256,1458,3402,154,8.5,39211,15110,54673,1647,1352,0.09,27.63704205,6.222449838
North West,Bolton,Bolton,34,836,3702,7484,151,7.7,76003,37689,114831,1655,1380,0.1,32.82127648,6.517403837
North West,Bury,Bury,96,950,3940,17951,147,6.5,64965,30318,96412,1630,1357,0.09,31.44629299,18.61905157
