Lowsoa,LAD11CD,LAD11NM,RGN11CD,RGN11NM,PropDiesel,MeanAge,PartTime,FullTime,SelfEmployed,Unemployed,Retired,NoQual,Level1,Level2,Level3,Level4,NoCar,OneCar,TwoCar,ThreePlus,WorkHome,Train,Bus,CarDrive,CarPass,CarShared,Bicycle,Foot,PopDens,MeanResidents,OwnOutright,OwnMort,RentSocial,RentPriv,Detached,SemiD,Terrace,Flats,DistCross,NetTime,NetDist,PropDiesLN,MeanAgeLN,SelfEmpLN,Level4LN,OneCarLN,CarDrivLN,PopDLN,MeanResLN,RentSocLN,FlatsLN,DistCrossLN,FiveKBuff,TenKBuff,FiftKBuff,TwentKBuff,RestIre,NetTimeLN,NetDistLN
95AA01S1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,57.96178344,22.7,10.61007958,64.05835544,2.785145889,4.50928382,0.397877984,5.944517834,15.05944518,25.0990753,23.24966975,24.9669749,7.419354839,64.19354839,26.4516129,1.935483871,14.63,0.17,1.39,30.49,1.05,8.19,13.59,28.4,2.1,3.167741935,1.612903226,6.774193548,2.903225806,87.09677419,23.22580645,68.38709677,6.774193548,1.612903226,54760.64914,59.70873333,88326.899,4.059783887,3.122364924,1.024300256,3.217553948,4.161902713,3.417398761,0.741937345,1.153019011,1.065822466,0.478035801,10.91072713,0,0,0,0,1,4.089478297,11.38879997
95AA01S2,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,59.2433362,37,13.17593298,40.21325209,15.156131,2.589489718,10.66260472,21.53625269,10.62455133,16.72648959,13.49605169,29.64824121,7.051282051,33.49358974,41.50641026,17.94871795,16.52,0.57,1.24,64.48,3.73,8.48,0.34,3.05,0.5,2.905448718,36.85897436,49.67948718,1.923076923,9.294871795,77.08333333,9.775641026,8.974358974,3.685897436,48129.55472,60.05668333,93268.635,4.081653304,3.610917913,2.718405137,3.389402805,3.511354069,4.166355098,-0.693147181,1.066587842,0.653926467,1.304514034,10.78165171,0,0,0,0,1,4.095288838,11.44323916
95AA01S3,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,51.02040816,37.1,11.71171171,45.67567568,13.33333333,3.513513514,11.89189189,19.84924623,10.88777219,15.57788945,12.31155779,31.40703518,7.823129252,37.24489796,38.94557823,15.98639456,15.12,0.39,2.35,62.97,2.48,10.82,1.04,2.74,0.5,2.540816327,36.56462585,43.02721088,0.680272109,16.83673469,49.14965986,17.85714286,23.63945578,9.183673469,57636.26785,60.58818333,94241.322,3.932225713,3.61361697,2.590267165,3.447031918,3.617514968,4.142658423,-0.693147181,0.932485418,-0.385262401,2.217427285,10.9619073,0,0,0,0,1,4.10409988,11.45361403
95AA02W1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,40.72524407,42.6,14.32903715,41.16755118,4.776345716,4.321455648,17.58908264,34.46866485,14.10081744,16.48501362,9.536784741,15.66757493,34.20738975,46.72228844,15.25625745,3.814064362,5.84,1.95,4.02,52.27,8.56,9.6,1.69,10.77,7.2,2.066746126,30.15494636,29.20143027,17.64004768,19.30870083,9.296781883,11.68057211,56.97258641,22.05005959,57306.47153,65.10958333,97921.825,3.706848148,3.751854253,1.56367576,2.751593286,3.844221319,3.956422593,1.974081026,0.725975451,2.870171754,3.093315304,10.95616884,0,0,0,0,1,4.176071748,11.49192474
95AA03W1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,39.71830986,38.4,15.48974943,38.11693242,3.644646925,4.328018223,15.48974943,39.3454039,14.62395543,15.25069638,11.35097493,11.62952646,34.67455621,47.21893491,15.26627219,2.840236686,8.94,0.14,5.78,54.75,5.91,8.8,0.96,8.53,32,2.156213018,24.37869822,31.12426036,27.5739645,14.31952663,8.75739645,20.1183432,66.50887574,4.615384615,59937.12006,64.44511667,97865.561,3.681812287,3.64805746,1.293259495,2.453547249,3.854794975,4.002777369,3.465735903,0.768353451,3.316872012,1.529395205,11.00105129,0,0,0,0,1,4.165813957,11.49134999
95AA04W1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,57.07395498,37.8,14.27929951,35.92276605,16.34485855,3.233048945,10.95644365,24.44163506,11.88369153,16.22418879,12.97935103,26.71723557,4.536489152,30.76923077,41.22287968,23.47140039,18.48,0.14,1.79,62.29,4.12,9.2,0.41,1.17,0.4,2.959566075,47.33727811,43.2938856,0.493096647,6.015779093,84.02366864,8.08678501,5.621301775,0.887573964,60693.32545,59.80018333,92493.738,4.044347883,3.632309103,2.793913386,3.285308884,3.42651519,4.131800899,-0.916290732,1.085042661,-0.707050086,-0.119263421,11.01358901,0,0,0,0,1,4.091008727,11.43489622
95AA05W1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,65.02571639,37.1,11.85031185,39.3970894,11.9022869,4.002079002,12.57796258,24.62794047,11.66586654,14.30628901,12.48199712,26.21219395,9.347826087,38.80434783,36.84782609,15,12.34,0.59,3.04,62.55,3.97,11.5,0.34,3.3,1.1,2.882608696,38.80434783,40.2173913,7.391304348,10.65217391,56.73913043,35.54347826,6.413043478,1.086956522,51811.47771,66.59043333,88313.117,4.174782828,3.61361697,2.476730558,3.26622472,3.658532298,4.135966237,0.09531018,1.058695681,2.000304221,0.083381609,10.85536698,0,0,0,0,1,4.198560924,11.38864393
95AA06S1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,50.10504202,34.7,16.71709531,38.35098336,7.942511346,4.462934947,10.51437216,25.33054976,13.63952679,16.97981907,14.12665275,20.1809325,17.6056338,42.53521127,31.26760563,8.591549296,10.1,0.61,3.41,58.39,6.08,10.34,0.36,8.27,1.8,2.750704225,25.35211268,50.98591549,10.42253521,10,36.90140845,37.04225352,16.61971831,9.436619718,50343.6466,56.87006667,85328.464,3.914121642,3.546739687,2.072229516,3.004738223,3.750332233,4.067144642,0.587786665,1.011856961,2.343970309,2.244597835,10.82662771,0,0,0,0,1,4.040769134,11.35426337
95AA06S2,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,48.87543253,32,15.57150745,39.97791276,7.1783545,3.699613473,7.564881281,23.25825039,14.35306443,20.32477737,14.03876375,20.6914615,14.65116279,42.6744186,34.88372093,7.790697674,6.13,0.63,4.15,61.77,6.31,10.73,0.63,8.3,14.3,3.076744186,18.25581395,59.65116279,9.88372093,9.069767442,40.46511628,33.48837209,20.69767442,5.348837209,52129.36747,56.32945,86752.205,3.889274868,3.465735903,1.971070179,3.029721127,3.753599645,4.12341781,2.660259537,1.123871955,2.290889053,1.676879193,10.86148374,0,0,0,0,1,4.031217489,11.37081112
95AA07W1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,58.41269841,39.3,12.93969849,37.12311558,13.5678392,3.51758794,13.50502513,27.6546091,11.96032672,15.75262544,10.96849475,24.09568261,13.04878049,38.90243902,32.07317073,15.97560976,13.4,0.41,1.83,65.58,5.08,8.12,0,3.65,0.9,2.584146341,41.95121951,33.29268293,8.536585366,13.41463415,52.92682927,16.34146341,28.65853659,1.829268293,57285.96312,65.91566667,86821.084,4.067533305,3.671224519,2.607702228,3.18203268,3.661056948,4.183270771,-0.105360516,0.949395218,2.144361088,0.603916047,10.9558109,0,0,0,0,1,4.188376147,11.37160477
95AA08W1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,43.78029079,37.5,15.84786054,34.38985737,3.407290016,6.973058637,14.42155309,36.89680772,14.1796585,16.70378619,9.651076466,12.17520416,32.90414878,47.63948498,14.30615165,5.150214592,7.32,0.15,5.79,48.48,10.52,10.37,0.46,8.99,4.2,2.397711016,24.46351931,33.33333333,23.03290415,14.44921316,10.01430615,15.16452074,70.67238913,4.148783977,61280.29896,68.84885,100328.982,3.779183734,3.624340933,1.225917259,2.499401438,3.863661934,3.881151342,1.435084525,0.874514539,3.136923809,1.422815274,11.02321368,0,0,0,0,1,4.231913522,11.51620989
95AA09W1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,41.56769596,39.1,14.60815047,36.11285266,4.263322884,5.642633229,15.73667712,33.97291196,13.99548533,14.61625282,9.650112867,19.13092551,37.85790032,39.23647932,18.23966066,4.665959703,7.75,1.88,4.93,48.83,6.81,8.92,1.29,13.73,23.1,2.272534464,26.2990456,28.31389183,29.26829268,13.67974549,26.40509014,7.847295864,52.5980912,13.04347826,59566.5371,65.81343333,98805.54,3.727323326,3.666122467,1.450048876,2.951306162,3.669606909,3.888344878,3.139832618,0.820895713,3.376504769,2.568288259,10.99484924,0,0,0,0,1,4.186823971,11.50090896
95AA10W1,N09000001,Antrim and Newtownabbey,N92000002,Northern Ireland,40.38709677,38.5,13.41546886,33.4017796,5.407255305,5.270362765,17.79603012,33.13990974,13.41070277,15.40941328,10.7027724,17.60154739,28.78787879,42.2979798,22.34848485,6.565656566,8.88,0.67,3.23,55.32,7.67,9.42,0.54,8.21,34.3,2.465909091,29.54545455,31.43939394,28.03030303,7.828282828,27.52525253,30.93434343,31.06060606,10.47979798,59919.12438,66.508,99002.93,3.698510347,3.650658241,1.687741627,2.867986818,3.744739326,4.013134507,3.535145354,0.902560539,3.333286176,2.349449402,11.000751,0,0,0,0,1,4.197322241,11.50290472
