allworkpop,home,under10,ten30,over30,other,basename,SOAname,Under10,TenTo30,Over30
574,84,271,87,40,92,LC7701NI_95AA01S1.xlsx,95AA01S1,47.21254355,15.15679443,6.968641115
884,146,201,392,43,102,LC7701NI_95AA01S2.xlsx,95AA01S2,22.73755656,44.3438914,4.864253394
767,116,248,299,26,78,LC7701NI_95AA01S3.xlsx,95AA01S3,32.33376793,38.98305085,3.389830508
771,45,399,226,33,68,LC7701NI_95AA02W1.xlsx,95AA02W1,51.75097276,29.31258106,4.280155642
727,65,360,215,22,65,LC7701NI_95AA03W1.xlsx,95AA03W1,49.51856946,29.5735901,3.026134801
1456,269,291,674,47,175,LC7701NI_95AA04W1.xlsx,95AA04W1,19.98626374,46.29120879,3.228021978
1183,146,295,361,204,177,LC7701NI_95AA05W1.xlsx,95AA05W1,24.93660186,30.51563821,17.24429417
822,83,168,452,24,95,LC7701NI_95AA06S1.xlsx,95AA06S1,20.4379562,54.98783455,2.919708029
1109,68,230,642,37,132,LC7701NI_95AA06S2.xlsx,95AA06S2,20.73940487,57.88999098,3.336339044
985,132,254,299,165,135,LC7701NI_95AA07W1.xlsx,95AA07W1,25.78680203,30.35532995,16.75126904
656,48,364,176,20,48,LC7701NI_95AA08W1.xlsx,95AA08W1,55.48780488,26.82926829,3.048780488
852,66,453,225,27,81,LC7701NI_95AA09W1.xlsx,95AA09W1,53.16901408,26.4084507,3.169014085
743,66,370,214,19,74,LC7701NI_95AA10W1.xlsx,95AA10W1,49.79811575,28.80215343,2.557200538
1349,85,622,461,49,132,LC7701NI_95AA11S1.xlsx,95AA11S1,46.10822832,34.17346182,3.632320237
1313,100,498,525,64,126,LC7701NI_95AA11S2.xlsx,95AA11S2,37.92840823,39.98476771,4.874333587
1377,213,292,642,59,171,LC7701NI_95AA12W1.xlsx,95AA12W1,21.20551924,46.62309368,4.284676834
775,73,258,237,109,98,LC7701NI_95AA13S1.xlsx,95AA13S1,33.29032258,30.58064516,14.06451613
715,44,249,214,115,93,LC7701NI_95AA13S2.xlsx,95AA13S2,34.82517483,29.93006993,16.08391608
1068,152,324,338,115,139,LC7701NI_95AA14W1.xlsx,95AA14W1,30.33707865,31.64794007,10.76779026
1362,98,598,487,67,112,LC7701NI_95AA15S1.xlsx,95AA15S1,43.90602056,35.75624082,4.919236417
645,47,333,176,25,64,LC7701NI_95AA15S2.xlsx,95AA15S2,51.62790698,27.28682171,3.875968992
774,57,421,221,20,55,LC7701NI_95AA16W1.xlsx,95AA16W1,54.39276486,28.55297158,2.583979328
953,60,487,285,48,73,LC7701NI_95AA17W1.xlsx,95AA17W1,51.10178384,29.90556139,5.036726128
1047,129,294,497,38,89,LC7701NI_95AA18W1.xlsx,95AA18W1,28.08022923,47.46895893,3.629417383
1108,134,262,271,228,213,LC7701NI_95AA19W1.xlsx,95AA19W1,23.64620939,24.45848375,20.57761733
766,77,141,415,32,101,LC7701NI_95BB01S1.xlsx,95BB01S1,18.4073107,54.17754569,4.177545692
1007,75,166,619,37,110,LC7701NI_95BB01S2.xlsx,95BB01S2,16.48460775,61.46971202,3.67428004
867,82,427,207,54,97,LC7701NI_95BB02W1.xlsx,95BB02W1,49.25028835,23.87543253,6.228373702
769,43,98,459,61,108,LC7701NI_95BB03S1.xlsx,95BB03S1,12.74382315,59.68790637,7.932379714
866,117,97,460,75,117,LC7701NI_95BB03S2.xlsx,95BB03S2,11.20092379,53.11778291,8.660508083
573,47,250,180,29,67,LC7701NI_95BB04S1.xlsx,95BB04S1,43.63001745,31.41361257,5.061082024
683,82,286,219,26,70,LC7701NI_95BB04S2.xlsx,95BB04S2,41.87408492,32.06442167,3.806734993
699,119,191,261,21,107,LC7701NI_95BB05S1.xlsx,95BB05S1,27.32474964,37.33905579,3.004291845
895,155,157,423,41,119,LC7701NI_95BB05S2.xlsx,95BB05S2,17.54189944,47.26256983,4.581005587
1127,73,563,338,39,114,LC7701NI_95BB06W1.xlsx,95BB06W1,49.95563443,29.99112689,3.460514641
654,51,247,259,24,73,LC7701NI_95BB07S1.xlsx,95BB07S1,37.7675841,39.60244648,3.669724771
570,50,230,214,19,57,LC7701NI_95BB07S2.xlsx,95BB07S2,40.35087719,37.54385965,3.333333333
504,35,243,143,8,75,LC7701NI_95BB08S1.xlsx,95BB08S1,48.21428571,28.37301587,1.587301587
659,36,248,277,18,80,LC7701NI_95BB08S2.xlsx,95BB08S2,37.63277693,42.03338392,2.731411229
607,72,199,236,23,77,LC7701NI_95BB09S1.xlsx,95BB09S1,32.78418451,38.87973641,3.789126853
836,68,307,348,21,92,LC7701NI_95BB09S2.xlsx,95BB09S2,36.72248804,41.62679426,2.511961722
711,57,230,302,36,86,LC7701NI_95BB10S1.xlsx,95BB10S1,32.3488045,42.47538678,5.063291139
708,114,181,287,36,90,LC7701NI_95BB10S2.xlsx,95BB10S2,25.56497175,40.53672316,5.084745763
539,24,205,214,24,72,LC7701NI_95BB11S1.xlsx,95BB11S1,38.03339518,39.70315399,4.452690167
600,33,180,281,28,78,LC7701NI_95BB11S2.xlsx,95BB11S2,30,46.83333333,4.666666667
512,23,265,144,11,69,LC7701NI_95BB12S1.xlsx,95BB12S1,51.7578125,28.125,2.1484375
555,58,215,184,34,64,LC7701NI_95BB12S2.xlsx,95BB12S2,38.73873874,33.15315315,6.126126126
592,58,240,216,22,56,LC7701NI_95BB13S1.xlsx,95BB13S1,40.54054054,36.48648649,3.716216216
572,29,271,186,18,68,LC7701NI_95BB13S2.xlsx,95BB13S2,47.37762238,32.51748252,3.146853147
798,60,331,300,26,81,LC7701NI_95BB13S3.xlsx,95BB13S3,41.47869674,37.59398496,3.258145363
716,112,101,376,36,91,LC7701NI_95BB14S1.xlsx,95BB14S1,14.10614525,52.51396648,5.027932961
747,93,104,434,35,81,LC7701NI_95BB14S2.xlsx,95BB14S2,13.92235609,58.09906292,4.6854083
849,116,104,272,174,183,LC7701NI_95BB15S1.xlsx,95BB15S1,12.24970554,32.0376914,20.49469965
602,69,77,293,50,113,LC7701NI_95BB15S2.xlsx,95BB15S2,12.79069767,48.67109635,8.305647841
727,112,227,256,21,111,LC7701NI_95BB16S1.xlsx,95BB16S1,31.22420908,35.21320495,2.888583219
748,102,173,343,36,94,LC7701NI_95BB16S2.xlsx,95BB16S2,23.12834225,45.85561497,4.812834225
871,63,378,310,19,101,LC7701NI_95BB17S1.xlsx,95BB17S1,43.39839265,35.5912744,2.181400689
743,96,289,244,33,81,LC7701NI_95BB17S2.xlsx,95BB17S2,38.89636608,32.83983849,4.441453567
661,43,131,363,23,101,LC7701NI_95BB18S1.xlsx,95BB18S1,19.81845688,54.91679274,3.479576399
1180,144,247,570,60,159,LC7701NI_95BB18S2.xlsx,95BB18S2,20.93220339,48.30508475,5.084745763
740,45,357,249,27,62,LC7701NI_95BB19S1.xlsx,95BB19S1,48.24324324,33.64864865,3.648648649
